country_id,month_id,country,gwcode,isoab,year,month,surrogate_mean_dem_ln,surrogate_mean_imr,surrogate_mean_pop_ln,surrogate_mean_imr_ln,surrogate_mean_pop,main_mean,main_dich,surrogate_mean_dem,surrogate_mean_nch_ln,surrogate_mean_ch,main_mean_ln,surrogate_mean_ch_ln,surrogate_mean_nch
54,548,The Gambia,420,GMB,2025,8,0.1802,1.5724,0.1611,0.9448,0.1748,0.0034,0.003,0.1974,0.0971,0.073,0.0034,0.0705,0.102
55,548,Djibouti,522,DJI,2025,8,1.2382,2.7304,0.1144,1.3165,0.1212,0.017,0.0031,2.4494,1.0912,0.073,0.0168,0.0705,1.9779
56,548,Eritrea,531,ERI,2025,8,0.3702,0.9586,0.1836,0.6722,0.2015,0.0168,0.0031,0.448,1.0572,0.073,0.0167,0.0705,1.8782
57,548,Ethiopia,530,ETH,2025,8,1.1289,1.7454,2.0631,1.0099,6.8702,188.8744,0.9765,2.0922,2.1849,182.8324,5.2464,5.214,7.8901
58,548,Mongolia,712,MNG,2025,8,0.5766,0.3115,0.1833,0.2712,0.2011,0.0044,0.0031,0.78,0.3459,0.073,0.0044,0.0705,0.4132
60,548,Iraq,645,IRQ,2025,8,1.3226,0.6964,1.1872,0.5285,2.2778,7.5723,0.1314,2.753,2.1401,3.034,2.1485,1.3948,7.5006
62,548,Jordan,663,JOR,2025,8,1.1697,0.3381,0.4069,0.2913,0.5021,0.0312,0.0032,2.2209,2.1754,0.073,0.0307,0.0705,7.8055
63,548,Kazakhstan,705,KAZ,2025,8,1.2851,0.198,0.6391,0.1807,0.8948,0.0048,0.0031,2.615,0.5989,0.073,0.0048,0.0705,0.8201
64,548,Norway,385,NOR,2025,8,-0.0194,0.064,0.2419,0.062,0.2736,0.0026,0.003,-0.0193,0.3298,0.073,0.0026,0.0705,0.3907
65,548,Russia,365,RUS,2025,8,0.8392,0.102,2.0872,0.0971,7.0621,56.8062,0.8334,1.3145,0.7169,46.0626,4.0571,3.8515,1.0481
66,548,Sweden,380,SWE,2025,8,-0.021,0.066,0.3804,0.0639,0.4629,0.0017,0.003,-0.0208,0.0993,0.073,0.0017,0.0705,0.1044
67,548,Algeria,615,DZA,2025,8,1.2173,0.6424,1.2015,0.4962,2.3251,0.2435,0.0045,2.3782,2.152,0.073,0.218,0.0705,7.6018
69,548,Cameroon,471,CMR,2025,8,1.3032,2.3282,0.8398,1.2024,1.316,18.224,0.4021,2.6809,1.7695,8.8922,2.9562,2.2917,4.8678
70,548,Central African Republic,482,CAF,2025,8,1.1398,5.6332,0.235,1.8921,0.2649,3.1791,0.0389,2.126,2.0598,0.073,1.4301,0.0705,6.8445
73,548,Tunisia,616,TUN,2025,8,1.2328,0.2858,0.4262,0.2514,0.5315,0.034,0.0032,2.4309,0.5069,0.073,0.0335,0.0705,0.6602
74,548,Benin,434,BEN,2025,8,0.8997,3.0083,0.4839,1.3884,0.6223,2.1055,0.023,1.4588,2.1836,0.073,1.1332,0.0705,7.8783
76,548,Equatorial Guinea,411,GNQ,2025,8,0.7792,3.4182,0.1357,1.4857,0.1454,0.0056,0.0031,1.1798,0.3298,0.073,0.0056,0.0705,0.3907
77,548,Kiribati,970,KIR,2025,8,0.2622,2.1563,0.0838,1.1494,0.0874,0.0024,0.003,0.2998,0.0993,0.073,0.0024,0.0705,0.1044
78,548,Niger,436,NER,2025,8,1.3677,7.4694,0.7922,2.1365,1.2083,43.7829,0.7595,2.9263,1.4153,38.1865,3.8018,3.6683,3.1177
79,548,Nigeria,475,NGA,2025,8,0.9738,5.5628,1.7869,1.8814,4.9712,669.0951,0.9974,1.648,2.1684,347.8096,6.5074,5.8545,7.7441
80,548,Sao Tome and Principe,403,STP,2025,8,0.1349,0.2491,0.0868,0.2225,0.0907,0.003,0.003,0.1444,0.0993,0.073,0.003,0.0705,0.1044
81,548,Togo,461,TGO,2025,8,1.3633,1.7644,0.3517,1.0168,0.4215,1.2554,0.013,2.9091,1.0549,0.073,0.8133,0.0705,1.8717
82,548,Albania,339,ALB,2025,8,0.5411,0.2174,0.1598,0.1967,0.1732,0.0026,0.003,0.7178,0.0987,0.073,0.0026,0.0705,0.1037
83,548,Bosnia and Herzegovina,346,BIH,2025,8,0.8292,0.1391,0.1728,0.1302,0.1886,0.002,0.003,1.2915,0.0987,0.073,0.002,0.0705,0.1037
84,548,Croatia,344,HRV,2025,8,0.1291,0.1065,0.1931,0.1012,0.213,0.0014,0.003,0.1378,0.0987,0.073,0.0014,0.0705,0.1037
85,548,Italy,325,ITA,2025,8,0.0956,0.0721,1.4097,0.0696,3.0949,0.0011,0.003,0.1003,0.0993,0.073,0.0011,0.0705,0.1044
86,548,Macedonia,343,MKD,2025,8,0.6553,0.0825,0.1328,0.0793,0.142,0.0038,0.0031,0.9257,0.0985,0.073,0.0038,0.0705,0.1035
87,548,Malta,338,MLT,2025,8,0.1279,0.1271,0.0969,0.1197,0.1017,0.0013,0.003,0.1365,0.0993,0.073,0.0013,0.0705,0.1044
89,548,Bulgaria,355,BGR,2025,8,0.1788,0.1319,0.2665,0.1239,0.3054,0.002,0.003,0.1958,0.2088,0.073,0.002,0.0705,0.2322
90,548,Cyprus,352,CYP,2025,8,0.1257,0.0846,0.12,0.0812,0.1275,0.0017,0.003,0.1339,0.0993,0.073,0.0017,0.0705,0.1044
92,548,Georgia,372,GEO,2025,8,0.905,0.209,0.1876,0.1898,0.2063,0.0055,0.0031,1.472,1.6613,0.073,0.0055,0.0705,4.2662
93,548,Greece,350,GRC,2025,8,0.1322,0.0911,0.3755,0.0872,0.4557,0.002,0.003,0.1414,0.2078,0.073,0.002,0.0705,0.231
94,548,Lebanon,660,LBN,2025,8,1.3582,0.4793,0.2485,0.3916,0.2821,38.5902,0.7164,2.8892,1.0549,27.706,3.6786,3.3571,1.8717
96,548,Turkey,640,TUR,2025,8,1.2216,0.2403,1.7579,0.2154,4.8004,0.5068,0.0063,2.3927,2.185,0.073,0.41,0.0705,7.891
97,548,Austria,305,AUT,2025,8,0.039,0.0783,0.3425,0.0754,0.4084,0.0016,0.003,0.0398,0.0993,0.073,0.0016,0.0705,0.1044
98,548,Czech Republic,316,CZE,2025,8,-0.009,0.068,0.3888,0.0658,0.4753,0.0016,0.003,-0.009,0.0993,0.073,0.0016,0.0705,0.1044
99,548,Denmark,390,DNK,2025,8,-0.0145,0.0868,0.2533,0.0832,0.2883,0.0008,0.003,-0.0144,0.0993,0.073,0.0008,0.0705,0.1044
100,548,Hungary,310,HUN,2025,8,0.9581,0.0911,0.353,0.0872,0.4233,0.0041,0.0031,1.6068,0.3312,0.073,0.0041,0.0705,0.3926
101,548,Poland,290,POL,2025,8,0.1292,0.102,1.0005,0.0971,1.7197,0.0182,0.0031,0.1379,1.0549,0.073,0.018,0.0705,1.8718
102,548,Slovakia,317,SVK,2025,8,0.131,0.1343,0.2376,0.126,0.2682,0.0022,0.003,0.14,0.3298,0.073,0.0022,0.0705,0.3907
